id,name,description,context,version,provider,status,production_endpoint,enable_CORS,accessControlAllowHeaders,accessControlAllowMethods,authType,application_name,isDefaultVersion,intial_Duration,maxDuration,Timeout_Duration
fc9cadf5-d84c-4d97-8741-0654e144c623,TLKBankCreditUnRegister,null,/TLKBankCreditUnRegister/rest/directcredit,1.0,admin,PUBLISHED,null,false,,,,,false,,,
8c2e62f0-a6dd-4714-a7a5-3349548d5daa,TLKBankGateway,Gateway for paid by credit card,/TLKBankGateway/rest,1.0,admin,PUBLISHED,null,false,,,,  ,false,,,
ac1fcd48-f30b-4012-a6cb-354a68db6898,TLKBankODDRegister,null,/TLKBankODDRegister/rest/register,1.0,admin,PUBLISHED,null,false,,,,,false,,,
44624bde-bd50-41e9-97b6-30e6dfc1113a,TLKBankUnRegister,null,/TLKBankUnRegister/rest/directdebit,1.0,admin,PUBLISHED,null,false,,,,,false,,,
c5ff454b-7545-4dd1-94f3-7d095569dd06,TLLdap,null,/ldapservice/tldap,1.0,admin,PUBLISHED,null,false,,,,CSVApplication ,false,,,
10390a7b-8a32-4f1d-a179-21fadad6f83a,TLPRO2-checkAgent,null,/TLPRO2/checkAgent,1.0,admin,PUBLISHED,null,false,,,,,false,,,
b3c4b0da-e477-4efd-8356-3b48afd612aa,TLPROMPT-checkAccount,PRO-23,/TLPROMPT/checkAccount,1.0,admin,PUBLISHED,null,false,,,,CSVApplication  ,false,,,
90e34a86-444a-44c0-acf8-ecd455f0a92d,TLPROMPT-checkPopupAccount,checkPopupAccount,/TLPROMPT/checkPopupAccount,1.0,admin,PUBLISHED,null,false,,,,CSVApplication  ,false,,,
4c9297eb-cb02-455a-9eb7-1f469c3e8378,tlprompt-findcustomer,null,/tlprompt/findcustomer,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
eab63e93-d209-483b-8491-5eab950c52c2,TLPROMPT-updateAccount,PRO-23,/TLPROMPT/updateAccount,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
aac16d0d-adfd-4d6d-bc09-22f95f148f33,TLProPlus-Email,null,/tlprompt/email,1.0,admin,PUBLISHED,null,false,,,,CIMB-Application  ,false,,,
